, ShuffleTime, CopyTime, RecordTime, QSortTime, QSortOps, BubbleSortTime, BubbleSortOps, BinarySearchTime, BinarySearchOps, LinearSearchTime, LinearSearchOps
1000,67,23,1,244,5492,11850,253782,2,10,2,330
5000,459,77,0,1613,38080,332213,6298767,1,8,10,3300
10000,570,125,0,4164,83652,1654067,24935035,2,12,20,7965
15000,1276,312,0,5888,141506,2921059,56825370,3,13,4,1117
20000,1302,245,0,7428,164745,3918373,100667340,3,15,48,10476
25000,937,225,0,7068,243273,5860622,155598450,3,15,3,669
30000,1149,261,0,8524,271350,8475978,225396117,4,15,65,29585
35000,1477,333,0,9781,336419,11621313,305238717,3,14,53,25255
40000,1681,459,0,12734,428720,15141835,398755311,3,13,12,3685
45000,1732,757,0,14978,486574,19506491,508905580,3,15,87,17803
50000,2131,589,0,14487,488946,23549489,624823392,3,14,37,19442
55000,2123,494,0,17140,564041,28467572,755584677,3,15,54,28567
60000,2818,524,0,23204,601578,34017450,897583497,4,14,85,44262
65000,2458,566,0,23851,666001,39974229,1059218650,3,16,7,2858
70000,3175,751,0,23403,727525,46071426,1226235898,3,16,151,68644
75000,3055,653,0,26145,801715,53494888,1403097005,3,15,97,54021
80000,3168,684,0,29423,771762,60665976,1600278332,5,15,140,49771
85000,3391,1325,0,27453,954975,68123530,1806338299,3,17,292,75758
90000,3987,800,0,29595,937123,76617550,2026690952,4,13,118,35188
95000,3574,1124,0,30666,1003294,85400784,2030321503,3,16,28,14289
100000,4937,875,0,35741,1147117,92849153,1788813873,3,16,124,57211
105000,4749,1573,0,36218,1288375,101260826,1527082017,3,13,26,12060
110000,4136,956,0,41321,1328912,110648560,1263128383,2,16,120,55091
115000,4634,980,0,38989,1241397,120834044,994139890,3,17,152,69279
120000,4551,1314,0,39579,1287798,137532456,690306204,4,15,397,115614
125000,4836,1120,0,42430,1447224,148673080,402972392,3,17,138,59322
130000,5194,1119,0,41771,1316626,164037235,69063018,4,17,256,76535
135000,5677,1318,0,47381,1494705,176999267,271432480,4,16,91,27291
140000,6462,1215,0,44031,1510771,201199097,597332847,4,16,476,62746
145000,8837,2195,0,60110,1858775,202433817,950616001,4,18,16,6484
150000,7784,2022,0,48683,1562756,219083057,1325319603,4,18,514,134553
155000,7434,1538,0,55806,1703307,237548396,1711209895,3,17,42,22619
160000,6975,1936,0,54325,1729851,248241062,2081843342,4,16,246,73082
165000,6637,1728,0,54409,1804353,263667354,1798737578,3,15,46,18523
170000,6443,1847,0,60228,2068187,280327851,1365516136,6,17,343,116836
175000,6617,2198,0,58051,1942803,300197450,937960683,3,16,148,31114
180000,8043,2192,0,65426,2062524,345550537,472054428,2,18,130,61442
185000,8330,1810,0,48307,1968360,267357829,48881891,14,17,43,12824
190000,7137,1808,0,56833,2153721,278308043,433777918,2,17,173,74908
195000,9752,2532,0,52253,2184815,299417028,886380010,2,12,385,185621
200000,6691,1695,0,55537,2300284,333200366,1417853161,1,16,190,102925
205000,6873,1690,0,58227,2348738,328675962,1922509052,2,18,347,188106
210000,6989,1896,0,61251,2751123,343552420,1883259095,2,16,71,35172
215000,7093,1791,0,59770,2611057,349261981,1348004609,2,16,307,181192
220000,7269,1997,0,66125,2403116,380671560,767831995,2,18,397,154926
225000,11574,2207,0,60851,2494159,386959081,226595665,2,17,99,67095
230000,11290,2867,0,65249,2712370,396494421,336425969,5,18,180,122806
235000,7402,2001,0,62696,2606358,413716467,908146468,2,18,215,91541
240000,7856,2046,0,64382,2693959,431446921,1519586234,2,17,413,225590
245000,8078,1900,0,64810,2593771,456790661,2129164451,3,18,235,90747
250000,8059,1950,0,68607,2825234,469347746,1577306276,2,18,402,155864
